English,Thai,Note / Context (มีตรงไหนผิด/ไม่ Update กับใน Discord ก็ Comment ได้นะคะ),Category
(x) are now disabled,ปิด(x)แล้ว,Alerts ที่ขึ้นตอนหลังการเปลี่ยนการตั้งค่า,UI
(x) are now enabled ,เปิด(x)แล้ว,Alerts ที่ขึ้นตอนหลังการเปลี่ยนการตั้งค่า,UI
(x) disabled,ปิด(x)แล้ว,Alerts ที่ขึ้นตอนหลังการเปลี่ยนการตั้งค่า,UI
(x) enabled,เปิด(x)แล้ว,Alerts ที่ขึ้นตอนหลังการเปลี่ยนการตั้งค่า,UI
Accessibility,การช่วยการเข้าถึง,,
Action Menu,เมนูคำสั่ง,,
AFK,AFK,,Common
Ago,ที่แล้ว,"Relative time, ใช้บอกเวลาที่ผ่านไป เช่น 5 ชั่วโมงที่แล้ว",Common
Animator,อนิเมเตอร์,,Unity / 3D
Auto,อัตโนมัติ,Mostly on camera settings,
Avatar,อวาตาร์,,VRChat Specific
Avatar Culling,การซ่อนอวาตาร์,Culling เป็น ศัพท์ทางเทคนิค,
Badge,เหรียญตรา,,VRChat Specific
Binding,ตั้งค่าปุ่ม,,
Block,บล็อก,Social feature,Common
Border,ขอบ,,
Browse,เรียกดู,,
Calibrate,ตั้งศูนย์,,
Captcha,แคปช่า,,Common
Change,ปรับ,,
Chat,แชท,,Common
Chatbox,ช่องแชท, ,
Click,คลิก,,
Colliders,คอลไลเดอร์,,Unity / 3D
Debug,ดีบัก,ศัพท์ทางเทคนิค Dev,
Decrease,ลด,,
Default,ค่าเริ่มต้น,,Common
Dismiss Notification,เพิกเฉยการแจ้งเตือน,,
Drift,ดริฟท์,,
Dynamic,ไดนามิก,,
Dynamic Bone,ไดนามิกโบน,,Unity / 3D
Earmuffs,ปิดเสียงรอบข้าง,,
Email,อีเมล,,Common
Emojis,อิโมจิ,"""อิโมจิ"" ref IOS",Common
Error,เกิดข้อผิดพลาด,,
Excellent,ยอดเยี่ยม,,Avatar Performance Rank
Failed,ล้มเหลว,,
Fallback,ตัวสำรอง,,
Favorite,ชื่นชอบ,,Common
Favorites,รายการโปรด,,Common
FBT,ระบบติดตามร่างกาย,,
Feature,ฟีเจอร์,,Common
Friends,เพื่อน,,Instance Type
Friends+,เพื่อน+,,Instance Type
Full body Tracking,ระบบติดตามร่างกาย,,
Gallery,คลังรูปภาพ,,
Gestures,ท่าทาง,,
Good,ดี,,Avatar Performance Rank
Goodbye,ลาก่อน,,Common
Group,กลุ่ม,,Instance Type
Group Public,กลุ่มสาธารณะ,,Instance Type
Group+,กลุ่ม+,,Instance Type
